,precision,recall,f1_score,support
0,0.9937421777221527,0.9962358845671268,0.9949874686716792,797.0
1,0.9949622166246851,0.9899749373433584,0.992462311557789,798.0
2,1.0,0.9987468671679198,0.9993730407523511,798.0
3,0.9987484355444305,1.0,0.9993738259236068,798.0
4,0.9974968710888611,0.9987468671679198,0.9981214777708203,798.0
5,0.9962073324905183,0.9874686716791979,0.9918187539332913,798.0
6,0.9987484355444305,1.0,0.9993738259236068,798.0
7,0.9987468671679198,0.9987468671679198,0.9987468671679198,798.0
8,0.9912935323383084,0.9987468671679198,0.9950062421972534,798.0
9,0.9937421777221527,0.9949874686716792,0.9943644333124608,798.0
10,1.0,1.0,1.0,798.0
