,1,2,3,4,5,6,7,8,9,10,11
1,795,0,0,0,0,2,0,0,0,0,0
2,1,792,1,0,0,0,0,0,1,3,0
3,0,0,791,0,7,0,0,0,0,0,0
4,0,0,0,798,0,0,0,0,0,0,0
5,0,1,0,0,791,0,0,6,0,0,0
6,6,0,0,0,0,779,0,0,13,0,0
7,0,0,0,0,0,0,798,0,0,0,0
8,1,0,0,0,2,0,0,795,0,0,0
9,1,0,0,0,0,4,0,1,791,1,0
10,0,13,0,0,0,0,0,0,0,785,0
11,0,0,0,0,0,0,0,0,0,0,798
