,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,epochs_ran
SLP_Baseline,0.9013217866909754,0.9006058829005537,0.8959781246439558,0.8950491078454945,0.8950440511873036,0.8955492659064217,0.8959846862508158,40.0
MLP,0.987693710118505,0.9876838151339985,0.9866697049105617,0.9866711305365282,0.9866703266919638,0.9866997717956602,0.9866705088259603,49.0
