model_name,layer_size,learning_rate,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
Tuned_MLP_256units_0.0005lr,256,0.0005,0.9922515952597994,0.9922460861088808,0.9927082146519312,0.9927055666930638
Tuned_MLP_256units_0.001lr,256,0.001,0.9895168641750228,0.9895084688776005,0.9883787171015154,0.9883699123896817
Tuned_MLP_128units_0.0005lr,128,0.0005,0.9892889699179581,0.989287638725471,0.9884926512475789,0.9884890411111887
Tuned_MLP_128units_0.001lr,128,0.001,0.9892889699179581,0.9892820882423453,0.9900877292924689,0.9900820870699313
